session_id,file_name,relative_path,tester_id,mode,level,attempt_number,game_version,include_in_analysis,notes
session_horizontal_fixed_1758125431,session_horizontal_fixed_1758125431.csv,data\raw\horizontal\session_horizontal_fixed_1758125431.csv,T1,horizontal,3,1,fixed,yes,
session_horizontal_fixed_1758126004,session_horizontal_fixed_1758126004.csv,data\raw\horizontal\session_horizontal_fixed_1758126004.csv,T1,horizontal,3,2,fixed,yes,
session_horizontal_fixed_1758126158,session_horizontal_fixed_1758126158.csv,data\raw\horizontal\session_horizontal_fixed_1758126158.csv,T1,horizontal,4,1,fixed,yes,
session_horizontal_fixed_1758126303,session_horizontal_fixed_1758126303.csv,data\raw\horizontal\session_horizontal_fixed_1758126303.csv,T1,horizontal,4,2,fixed,yes,
session_horizontal_fixed_1758126439,session_horizontal_fixed_1758126439.csv,data\raw\horizontal\session_horizontal_fixed_1758126439.csv,T1,horizontal,5,1,fixed,yes,
session_horizontal_fixed_1758126847,session_horizontal_fixed_1758126847.csv,data\raw\horizontal\session_horizontal_fixed_1758126847.csv,T1,horizontal,5,2,fixed,yes,
session_horizontal_fixed_1758584714,session_horizontal_fixed_1758584714.csv,data\raw\horizontal\session_horizontal_fixed_1758584714.csv,T2,horizontal,1,1,fixed,yes,
session_horizontal_fixed_1758584809,session_horizontal_fixed_1758584809.csv,data\raw\horizontal\session_horizontal_fixed_1758584809.csv,T2,horizontal,1,2,fixed,yes,
session_horizontal_fixed_1758587054,session_horizontal_fixed_1758587054.csv,data\raw\horizontal\session_horizontal_fixed_1758587054.csv,T2,horizontal,2,1,fixed,yes,
session_horizontal_fixed_1758587183,session_horizontal_fixed_1758587183.csv,data\raw\horizontal\session_horizontal_fixed_1758587183.csv,T2,horizontal,2,2,fixed,yes,
session_horizontal_fixed_1758587278,session_horizontal_fixed_1758587278.csv,data\raw\horizontal\session_horizontal_fixed_1758587278.csv,T2,horizontal,3,1,fixed,yes,
session_horizontal_fixed_1758587410,session_horizontal_fixed_1758587410.csv,data\raw\horizontal\session_horizontal_fixed_1758587410.csv,T2,horizontal,3,2,fixed,yes,
session_horizontal_fixed_1758587525,session_horizontal_fixed_1758587525.csv,data\raw\horizontal\session_horizontal_fixed_1758587525.csv,T2,horizontal,4,1,fixed,yes,
session_horizontal_fixed_1758587622,session_horizontal_fixed_1758587622.csv,data\raw\horizontal\session_horizontal_fixed_1758587622.csv,T2,horizontal,4,2,fixed,yes,
session_horizontal_fixed_1758587735,session_horizontal_fixed_1758587735.csv,data\raw\horizontal\session_horizontal_fixed_1758587735.csv,T2,horizontal,5,1,fixed,yes,
session_horizontal_fixed_1758587948,session_horizontal_fixed_1758587948.csv,data\raw\horizontal\session_horizontal_fixed_1758587948.csv,T2,horizontal,5,2,fixed,yes,
session_vertical_fixed_1758152129,session_vertical_fixed_1758152129.csv,data\raw\vertical\session_vertical_fixed_1758152129.csv,T1,vertical,1,1,fixed,yes,
session_vertical_fixed_1758152278,session_vertical_fixed_1758152278.csv,data\raw\vertical\session_vertical_fixed_1758152278.csv,T1,vertical,1,2,fixed,yes,
session_vertical_fixed_1758152428,session_vertical_fixed_1758152428.csv,data\raw\vertical\session_vertical_fixed_1758152428.csv,T1,vertical,2,1,fixed,yes,
session_vertical_fixed_1758152786,session_vertical_fixed_1758152786.csv,data\raw\vertical\session_vertical_fixed_1758152786.csv,T1,vertical,2,2,fixed,yes,
session_vertical_fixed_1758152921,session_vertical_fixed_1758152921.csv,data\raw\vertical\session_vertical_fixed_1758152921.csv,T1,vertical,3,1,fixed,yes,
session_vertical_fixed_1758153220,session_vertical_fixed_1758153220.csv,data\raw\vertical\session_vertical_fixed_1758153220.csv,T1,vertical,3,2,fixed,yes,
session_vertical_fixed_1758153555,session_vertical_fixed_1758153555.csv,data\raw\vertical\session_vertical_fixed_1758153555.csv,T1,vertical,4,1,fixed,yes,
session_vertical_fixed_1758153678,session_vertical_fixed_1758153678.csv,data\raw\vertical\session_vertical_fixed_1758153678.csv,T1,vertical,4,2,fixed,yes,
session_vertical_fixed_1758154496,session_vertical_fixed_1758154496.csv,data\raw\vertical\session_vertical_fixed_1758154496.csv,T1,vertical,5,1,fixed,yes,
session_vertical_fixed_1758154673,session_vertical_fixed_1758154673.csv,data\raw\vertical\session_vertical_fixed_1758154673.csv,T1,vertical,5,2,fixed,yes,
session_vertical_fixed_1758588591,session_vertical_fixed_1758588591.csv,data\raw\vertical\session_vertical_fixed_1758588591.csv,T2,vertical,1,1,fixed,yes,
session_vertical_fixed_1758588715,session_vertical_fixed_1758588715.csv,data\raw\vertical\session_vertical_fixed_1758588715.csv,T2,vertical,1,2,fixed,yes,
session_vertical_fixed_1758588825,session_vertical_fixed_1758588825.csv,data\raw\vertical\session_vertical_fixed_1758588825.csv,T2,vertical,2,1,fixed,yes,
session_vertical_fixed_1758589085,session_vertical_fixed_1758589085.csv,data\raw\vertical\session_vertical_fixed_1758589085.csv,T2,vertical,2,2,fixed,yes,
session_vertical_fixed_1758589209,session_vertical_fixed_1758589209.csv,data\raw\vertical\session_vertical_fixed_1758589209.csv,T2,vertical,3,1,fixed,yes,
session_vertical_fixed_1758589313,session_vertical_fixed_1758589313.csv,data\raw\vertical\session_vertical_fixed_1758589313.csv,T2,vertical,3,2,fixed,yes,
session_vertical_fixed_1758589423,session_vertical_fixed_1758589423.csv,data\raw\vertical\session_vertical_fixed_1758589423.csv,T2,vertical,4,1,fixed,yes,
session_vertical_fixed_1758589544,session_vertical_fixed_1758589544.csv,data\raw\vertical\session_vertical_fixed_1758589544.csv,T2,vertical,4,2,fixed,yes,
session_vertical_fixed_1758589887,session_vertical_fixed_1758589887.csv,data\raw\vertical\session_vertical_fixed_1758589887.csv,T2,vertical,5,1,fixed,yes,
session_vertical_fixed_1758589983,session_vertical_fixed_1758589983.csv,data\raw\vertical\session_vertical_fixed_1758589983.csv,T2,vertical,5,2,fixed,yes,
